event,time,src,dst,packetName,srcPort,dstPort,pktLen
1705,24.4291,10.1.0.11,10.1.0.42,attack,9003,9002,100
1706,24.4299,10.1.0.11,10.1.0.42,attack,9003,9002,100
1707,24.431,10.1.0.11,10.1.0.42,attack,9003,9002,100
1708,24.4331,10.1.0.12,10.1.0.42,normal,9001,9002,100
1709,24.4352,10.1.0.36,10.1.0.42,normal,9001,9002,100
1710,24.4384,10.1.0.11,10.1.0.42,attack,9003,9002,100
1711,24.4405,10.1.0.21,10.1.0.42,normal,9001,9002,100
1712,24.4568,10.1.0.13,10.1.0.42,normal,9001,9002,100
1713,24.4607,10.1.0.14,10.1.0.42,normal,9001,9002,100
1714,24.466,10.1.0.11,10.1.0.42,normal,9001,9002,100
1715,24.5007,10.1.0.21,10.1.0.42,attack,9003,9002,100
1716,24.5016,10.1.0.11,10.1.0.42,attack,9003,9002,100
1717,24.502,10.1.0.21,10.1.0.42,attack,9003,9002,100
1718,24.5023,10.1.0.21,10.1.0.42,attack,9003,9002,100
1719,24.5034,10.1.0.11,10.1.0.42,attack,9003,9002,100
1720,24.5038,10.1.0.21,10.1.0.42,attack,9003,9002,100
1721,24.5048,10.1.0.11,10.1.0.42,attack,9003,9002,100
1722,24.5056,10.1.0.21,10.1.0.42,attack,9003,9002,100
1723,24.5062,10.1.0.11,10.1.0.42,attack,9003,9002,100
1724,24.5069,10.1.0.21,10.1.0.42,attack,9003,9002,100
1725,24.5077,10.1.0.11,10.1.0.42,attack,9003,9002,100
1726,24.508,10.1.0.21,10.1.0.42,attack,9003,9002,100
1727,24.5083,10.1.0.21,10.1.0.42,attack,9003,9002,100
1728,24.5098,10.1.0.11,10.1.0.42,attack,9003,9002,100
1729,24.5101,10.1.0.21,10.1.0.42,attack,9003,9002,100
1730,24.5108,10.1.0.11,10.1.0.42,attack,9003,9002,100
1731,24.5116,10.1.0.11,10.1.0.42,attack,9003,9002,100
1732,24.512,10.1.0.21,10.1.0.42,attack,9003,9002,100
1733,24.5122,10.1.0.21,10.1.0.42,attack,9003,9002,100
1734,24.5126,10.1.0.21,10.1.0.42,attack,9003,9002,100
1735,24.5134,10.1.0.11,10.1.0.42,attack,9003,9002,100
1736,24.5141,10.1.0.21,10.1.0.42,attack,9003,9002,100
1737,24.5146,10.1.0.11,10.1.0.42,attack,9003,9002,100
1738,24.5158,10.1.0.21,10.1.0.42,attack,9003,9002,100
1739,24.5164,10.1.0.11,10.1.0.42,attack,9003,9002,100
1740,24.5167,10.1.0.21,10.1.0.42,attack,9003,9002,100
1741,24.5173,10.1.0.21,10.1.0.42,attack,9003,9002,100
1742,24.5179,10.1.0.11,10.1.0.42,attack,9003,9002,100
1743,24.5182,10.1.0.21,10.1.0.42,attack,9003,9002,100
1744,24.5197,10.1.0.21,10.1.0.42,attack,9003,9002,100
1745,24.5202,10.1.0.11,10.1.0.42,attack,9003,9002,100
1746,24.5205,10.1.0.11,10.1.0.42,attack,9003,9002,100
1747,24.5214,10.1.0.11,10.1.0.42,attack,9003,9002,100
1748,24.522,10.1.0.21,10.1.0.42,attack,9003,9002,100
1749,24.5224,10.1.0.21,10.1.0.42,attack,9003,9002,100
1750,24.523,10.1.0.11,10.1.0.42,attack,9003,9002,100
1751,24.5239,10.1.0.11,10.1.0.42,attack,9003,9002,100
